2022-11-29 11:28:45,906 INFO  [] - Restarting Consumer@3d06980: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:45,906 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:50,332 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:50,332 INFO  [] - Restarting Consumer@2eac468f: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:50,333 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:50,969 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:50,969 INFO  [] - Restarting Consumer@3b1b6349: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:50,970 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:50,999 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:51,000 INFO  [] - Restarting Consumer@676a181f: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:51,000 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:55,406 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:55,406 INFO  [] - Restarting Consumer@552f76da: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:55,406 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:56,062 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:56,062 INFO  [] - Restarting Consumer@36705efb: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:56,064 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:56,094 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:56,094 INFO  [] - Restarting Consumer@9353748: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:56,095 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:00,504 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:00,504 INFO  [] - Restarting Consumer@5600bd0f: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:00,505 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:01,160 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:01,160 INFO  [] - Restarting Consumer@4784d0be: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:01,160 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:01,176 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:01,176 INFO  [] - Restarting Consumer@db20391: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:01,177 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:05,599 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:05,599 INFO  [] - Restarting Consumer@67a39654: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:05,599 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:06,237 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:06,237 INFO  [] - Restarting Consumer@6cb487f6: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:06,238 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:06,268 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:06,268 INFO  [] - Restarting Consumer@40f11348: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:06,268 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:10,692 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:10,692 INFO  [] - Restarting Consumer@6462e5c7: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:10,693 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:11,316 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:29:11,316 INFO  [] - Restarting Consumer@5a582005: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:29:11,317 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:29:11,363 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
